pattern_id,pattern_name,liujing,clause,total_features,top_features
fj:XiaoChengQiTang_Jueyin,小承气汤证（厥阴）,lj:Jueyin_Instance,【11.95】,2,zz:ZhanYu(7.6184); zz:XiaLi(5.7115)
fj:ZhiZiChiTang_Jueyin,栀子豉汤证（厥阴）,lj:Jueyin_Instance,【11.96】,3,zz:GengFan(9.6184); zz:AnZhiXinXiaRu(9.6184); zz:XiaLi(5.7115)
fj:ZiCanTang,紫参汤证,lj:Jueyin_Instance,【11.97】,2,zz:XiaLi(5.7115); zz:FuTong(5.2965)
fj:HeLiLeSan,诃黎勒散证,lj:Jueyin_Instance,【11.98】,1,zz:QiLi(9.6184)
fj:JuPiTang,橘皮汤证,lj:Jueyin_Instance,【11.108】,2,zz:ShouZuJue(8.0334); zz:GanOu(5.7115)
fj:JuPiZhuRuTang,橘皮竹茹汤证,lj:Jueyin_Instance,【11.109】,2,zz:NiNi(8.0334); zz:Xu(8.0334)
fj:XiaoBanXiaTang_ZhuOu,小半夏汤证（诸呕）,lj:Jueyin_Instance,【11.110】,2,zz:ZhuOu(8.0334); zz:GuBuDeXia(8.0334)
fj:HuangLianFuLingTang,黄连茯苓汤证,lj:Jueyin_Instance,【11.111】,2,zz:BianNongXue(9.6184); zz:ChuanWeiWeiBing(9.6184)
fj:GanCaoFenMiTang,甘草粉蜜汤证,lj:Jueyin_Instance,【11.112】,4,zz:TuOuXianMo(9.6184); zz:XinTong(9.6184); zz:FaZuoYouShi(9.6184); zz:FuTong(5.2965)
fj:DaWuTouJian,大乌头煎证,lj:Jueyin_Instance,【11.113】,3,zz:RaoQiErTong(8.0334); zz:ShouZuJueLeng(7.6184); zz:HanShan(6.2965)
fj:DangGuiShengJiangYangRouTang,当归生姜羊肉汤证,lj:Jueyin_Instance,【11.114】,3,zz:XieTongLiJi(8.0334); zz:FuZhongTong(7.0334); zz:HanShan(6.2965)
fj:WuTouGuiZhiTang,乌头桂枝汤证,lj:Jueyin_Instance,【11.115】,5,zz:ShouZuBuRen(8.0334); zz:NiLeng(8.0334); zz:FuZhongTong(7.0334); zz:ShenTiTengTong(6.6184); zz:HanShan(6.2965)
fj:ZhiZhuSan,蜘蛛散证,lj:Jueyin_Instance,【11.116】,3,zz:PianYouDaXiao(8.6184); zz:ShiYouShangXia(8.6184); zz:GuShan(8.0334)
fj:ShenQiWan,肾气丸证,lj:Shaoyin_Instance,【11.119】,3,zz:XiaoBianDuo(9.6184); zz:YinDouYiDou(9.6184); zz:XiaoKe(7.2965)
fj:WuLingSan_XiaoKe,五苓散证（消渴）,lj:Taiyang_Instance,【11.120】,2,zz:XiaoKe(7.2965); zz:XiaoBianBuLi(5.0948)
fj:FuLingZeXieTang,茯苓泽泻汤证,lj:Taiyang_Instance,【11.121】,2,zz:WeiFanErTu(9.6184); zz:XiaoKe(7.2965)
fj:WenHaTang,文蛤汤证,lj:Taiyang_Instance,【11.122】,2,zz:ShiBuXiuXi(9.6184); zz:XiaoKe(7.2965)
fj:GuaLouGuiZhiTang,栝楼桂枝汤证,lj:Taiyang_Instance,【金匮2-11】,3,zz:ShenTiQiangJiJi(9.6184); zz:Ren(9.6184); mx:Pulse_Chen_Chi(9.6184)
fj:GeGenTang_JinKui,葛根汤证（金匮）,lj:Taiyang_Instance,,5,zz:XiaoBianFanShao(9.6184); zz:KouJinBuDeYu(9.6184); 【金匮2-12】(9.6184); zz:QiShangChongXiong(8.0334); zz:WuHan(6.811)
fj:DaChengQiTang_JinKui,大承气汤证（金匮）,lj:Yangming_Instance,,6,zz:KouJin(9.6184); zz:WoBuZhaoXi(9.6184); zz:JiaoLuanJi(9.6184); zz:JieChi(9.6184); 【金匮2-13】(9.6184); zz:XiongMan(6.0334)
fj:MaHuangJiaZhuTang,麻黄加术汤证,lj:Taiyang_Instance,,2,zz:ShenFanTeng(9.6184); 【金匮2-20】(9.6184)
fj:MaHuangXingRenYiYiGanCaoTang,麻黄杏仁薏苡甘草汤证,lj:Taiyang_Instance,,4,zz:ShenYiShenTeng(9.6184); zz:RiBuSuoJu(9.6184); 【金匮2-21】(9.6184); zz:FaRe(5.2965)
fj:FangJiHuangQiTang,防己黄芪汤证,lj:Taiyang_Instance,【金匮2-22】,4,zz:FuShenZhong(9.6184); zz:EFeng(6.2965); mx:Pulse_Fu(5.9179); zz:HanChu(5.3705)
